model,feature_type,accuracy,precision,recall,f1_score
logistic_regression,url_only,0.9930321484209036,0.9992594587316548,0.9844143785647964,0.9917813711078444
random_forest,url_only,0.9945333522164,0.9973935708079932,0.989786443825441,0.9935754468892514
xgboost,url_only,0.9952981164141056,0.9990629183400268,0.9899190874121236,0.9944699846758612
logistic_regression,hybrid,0.9992352358022943,0.9988069198647842,0.9994031038599284,0.9991049229239185
random_forest,hybrid,0.999971675400085,1.0,0.9999336782066587,0.9999668380036478
xgboost,hybrid,0.999971675400085,1.0,0.9999336782066587,0.9999668380036478
