model,feature_type,accuracy,precision,recall,f1_score
logistic_regression,url_only,0.9930321484209036,0.9992594587316548,0.9844143785647964,0.9917813711078445
random_forest,url_only,0.9945333522163999,0.9973935708079931,0.989786443825441,0.9935754468892514
xgboost,url_only,0.9952981164141057,0.9990629183400268,0.9899190874121236,0.9944699846758611
